#time,id,mass,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+00,-1.6073173416372174e+02,5.2114241500456473e+01,-4.5128726908438672e+01,7.6923875364598396e-02,-1.8595511601406114e-02,1.6568775206380230e-02
0.0000000000000000e+00,1,1.0000000000000000e+00,1.6093330679824425e+02,-5.2178817310652249e+01,4.5175493323389524e+01,-7.6793114233908610e-02,1.8855586830928330e-02,-1.6324832199968203e-02
0.0000000000000000e+00,2,9.5435340000000004e-04,-1.6337036083320962e+02,5.0422708776834455e+01,-4.1233041302029541e+01,-1.2094657591949218e-01,-3.2002992247592965e-01,-2.4833771986189701e-01
0.0000000000000000e+00,3,2.8630601999999998e-04,-1.5947822264501224e+02,5.7472513632086560e+01,-2.5900684141795498e+01,-5.3562809271772094e-02,1.5838442759403912e-01,-2.4243496918373002e-02

1.2409014702065684e+00,0,1.0000000000000000e+00,-1.6063628937750866e+02,5.2091153913420506e+01,-4.5108142306927412e+01,7.6907133227783184e-02,-1.8616052008114954e-02,1.6607519835059332e-02
1.2409014702065684e+00,1,1.0000000000000000e+00,1.6083800832431010e+02,-5.2155417509303533e+01,4.5155234190969892e+01,-7.6802440772048952e-02,1.8858610959997441e-02,-1.6327450431019516e-02
1.2409014702065684e+00,2,9.5435340000000004e-04,-1.6350369835095839e+02,5.0036757177964589e+01,-4.1564497506804699e+01,-9.3579099083760761e-02,-3.0141993450802695e-01,-2.8529811652478548e-01
1.2409014702065684e+00,3,2.8630601999999998e-04,-1.5954479884036269e+02,5.7668527351481302e+01,-2.5932617580213275e+01,-5.3735944339154823e-02,1.5753139749918288e-01,-2.7223236594160483e-02

2.2235765713359119e+00,0,1.0000000000000000e+00,-1.6056072177606970e+02,5.2072851394091884e+01,-4.5091808470972325e+01,7.6892440031293988e-02,-1.8634682584955344e-02,1.6635706752590435e-02
2.2235765713359119e+00,1,1.0000000000000000e+00,1.6076253284607310e+02,-5.2136884444071214e+01,4.5139188592250399e+01,-7.6809833898293350e-02,1.8861008489543529e-02,-1.6329526164803598e-02
2.2235765713359119e+00,2,9.5435340000000004e-04,-1.6358436833903485e+02,4.9748846235561317e+01,-4.1858148558702304e+01,-7.0400623016620936e-02,-2.8420059113525831e-01,-3.1195212642802239e-01
2.2235765713359119e+00,3,2.8630601999999998e-04,-1.5959766368940177e+02,5.7822987544414602e+01,-2.5960526025098126e+01,-5.3855168894409902e-02,1.5683182576387639e-01,-2.9576797906540331e-02

3.7282139982658857e+00,0,1.0000000000000000e+00,-1.6044504471316748e+02,5.2044789223916993e+01,-4.5066748117795065e+01,7.6867904488971239e-02,-1.8666945419450354e-02,1.6674113249758250e-02
3.7282139982658857e+00,1,1.0000000000000000e+00,1.6064695337128876e+02,-5.2108502700225003e+01,4.5114616182514368e+01,-7.6821166692056270e-02,1.8864684151301603e-02,-1.6332708480492834e-02
3.7282139982658857e+00,2,9.5435340000000004e-04,-1.6366227865599362e+02,4.9343444031919816e+01,-4.2355268217825994e+01,-3.2771141527858136e-02,-2.5391245405079288e-01,-3.4778330590320422e-01
3.7282139982658857e+00,3,2.8630601999999998e-04,-1.5967881511629952e+02,5.8058132093914168e+01,-2.6007732871600808e+01,-5.4007060612761872e-02,1.5571968055188501e-01,-3.3169364770526399e-02

5.8737872279788679e+00,0,1.0000000000000000e+00,-1.6028015934157921e+02,5.2004682529297739e+01,-4.5030923218248418e+01,7.6829819831649090e-02,-1.8719815106094561e-02,1.6717873196741530e-02
5.8737872279788679e+00,1,1.0000000000000000e+00,1.6048211057307427e+02,-5.2068021507612670e+01,4.5079568284951833e+01,-7.6837353592781238e-02,1.8869935301053270e-02,-1.6337254823074854e-02
